element,type,result,error,duration_ms
MATCH,clause,pass,,71
OPTIONAL MATCH,clause,pass,,117
MANDATORY MATCH,clause,pass,,2
WHERE,clause,pass,,75
RETURN,clause,pass,,1
WITH,clause,pass,,6
UNWIND,clause,pass,,1
ORDER BY,clause,pass,,1
SKIP,clause,fail,"Column mismatch: expected ['x'], got []",20
LIMIT,clause,pass,,1
CREATE,clause,pass,,39
DELETE,clause,pass,,40
SET,clause,pass,,158
REMOVE,clause,pass,,54
MERGE,clause,pass,,37
UNION,clause,pass,,1
UNION ALL,clause,pass,,1
CALL [YIELD],clause,pass,,32
Boolean,data_type,pass,,1
Integer,data_type,pass,,0
Float,data_type,pass,,0
String,data_type,pass,,0
Null,data_type,pass,,1
List,data_type,pass,,0
Map,data_type,pass,,0
Node,data_type,pass,,82
Relationship,data_type,pass,,39
Path,data_type,pass,,5
CASE (simple),expression,pass,,1
CASE (generic),expression,pass,,1
List comprehension,expression,pass,,81
Map projection,expression,pass,,73
count(),function,pass,,1
count(*),function,pass,,1
sum(),function,pass,,1
avg(),function,pass,,1
min(),function,pass,,1
max(),function,pass,,1
collect(),function,pass,,1
percentileDisc(),function,pass,,49
percentileCont(),function,pass,,50
stDev(),function,pass,,1
stDevP(),function,pass,,1
keys(),function,pass,,59
labels(),function,pass,,62
nodes(),function,pass,,80
relationships(),function,pass,,3
range(),function,pass,,1
reverse(),function,pass,,34
tail(),function,pass,,36
abs(),function,pass,,1
ceil(),function,pass,,1
floor(),function,pass,,1
round(),function,pass,,1
sign(),function,pass,,1
rand(),function,pass,,1
log(),function,pass,,1
log10(),function,pass,,1
exp(),function,pass,,1
e(),function,pass,,0
sqrt(),function,pass,,1
sin(),function,pass,,0
cos(),function,pass,,1
tan(),function,pass,,1
asin(),function,pass,,1
acos(),function,pass,,1
atan(),function,pass,,0
atan2(),function,pass,,1
pi(),function,pass,,1
degrees(),function,pass,,1
radians(),function,pass,,0
haversin(),function,pass,,1
toInteger() from float,function,pass,,1
toFloat() from int,function,pass,,1
toInteger() from bool,function,pass,,0
coalesce(),function,pass,,1
head(),function,pass,,1
last(),function,pass,,1
size(),function,pass,,0
size() string,function,pass,,0
toInteger(),function,pass,,0
toFloat(),function,pass,,0
toBoolean(),function,pass,,0
toString(),function,pass,,0
type(),function,pass,,46
id(),function,pass,,44
properties(),function,pass,,78
timestamp(),function,pass,,1
randomUUID(),function,pass,,1
left(),function,pass,,1
right(),function,pass,,1
trim(),function,pass,,1
lTrim(),function,pass,,1
rTrim(),function,pass,,1
toUpper(),function,pass,,1
toLower(),function,pass,,1
replace(),function,pass,,1
substring(),function,pass,,1
split(),function,pass,,1
reverse() string,function,pass,,1
toString() from bool,function,pass,,0
size() string length,function,pass,,0
datetime(),function,pass,,1
date(),function,pass,,1
time(),function,pass,,1
localtime(),function,pass,,0
localdatetime(),function,pass,,0
duration(),function,pass,,1
+,operator,pass,,0
-,operator,pass,,1
*,operator,pass,,1
/,operator,pass,,1
%,operator,pass,,1
^,operator,pass,,1
=,operator,pass,,1
<>,operator,pass,,1
<,operator,pass,,1
>,operator,pass,,1
<=,operator,pass,,1
>=,operator,pass,,1
IS NULL,operator,pass,,1
IS NOT NULL,operator,pass,,1
AND,operator,pass,,1
OR,operator,pass,,1
XOR,operator,pass,,1
NOT,operator,pass,,1
STARTS WITH,operator,pass,,1
ENDS WITH,operator,pass,,0
CONTAINS,operator,pass,,1
=~ (regex),operator,pass,,1
IN,operator,pass,,1
[] (list subscript),operator,pass,,1
+ (string concat),operator,pass,,1
